game_id,agent_type,agent_index,turn_index,player_index,rumor_card,approx_probability
1,Player,0,0,0,Character: Mustard,0
1,Player,0,0,0,Character: Plum,0
1,Player,0,0,0,Character: Green,0
1,Player,0,0,0,Character: Peacock,1
1,Player,0,0,0,Character: Scarlet,0
1,Player,0,0,0,Character: White,1
1,Player,0,0,0,Weapon: Knife,0
1,Player,0,0,0,Weapon: Candlestick,0
1,Player,0,0,0,Weapon: Pistol,0
1,Player,0,0,0,Weapon: Poison,0
1,Player,0,0,0,Weapon: Trophy,0
1,Player,0,0,0,Weapon: Rope,0
1,Player,0,0,0,Weapon: Bat,0
1,Player,0,0,0,Weapon: Ax,0
1,Player,0,0,0,Weapon: Dumbbell,0
1,Player,0,0,0,Room: Hall,1
1,Player,0,0,0,Room: Dining Room,0
1,Player,0,0,0,Room: Kitchen,1
1,Player,0,0,0,Room: Patio,0
1,Player,0,0,0,Room: Observatory,1
1,Player,0,0,0,Room: Theater,0
1,Player,0,0,0,Room: Living Room,0
1,Player,0,0,0,Room: Spa,0
1,Player,0,0,0,Room: Guest House,0
1,Player,0,0,1,Character: Mustard,0.1
1,Player,0,0,1,Character: Plum,0.1
1,Player,0,0,1,Character: Green,0.1
1,Player,0,0,1,Character: Peacock,0
1,Player,0,0,1,Character: Scarlet,0.2
1,Player,0,0,1,Character: White,0
1,Player,0,0,1,Weapon: Knife,0.5
1,Player,0,0,1,Weapon: Candlestick,0.2
1,Player,0,0,1,Weapon: Pistol,0.2
1,Player,0,0,1,Weapon: Poison,0.5
1,Player,0,0,1,Weapon: Trophy,0.2
1,Player,0,0,1,Weapon: Rope,0.2
1,Player,0,0,1,Weapon: Bat,0.3
1,Player,0,0,1,Weapon: Ax,0.4
1,Player,0,0,1,Weapon: Dumbbell,0.6
1,Player,0,0,1,Room: Hall,0
1,Player,0,0,1,Room: Dining Room,0.3
1,Player,0,0,1,Room: Kitchen,0
1,Player,0,0,1,Room: Patio,0.1
1,Player,0,0,1,Room: Observatory,0
1,Player,0,0,1,Room: Theater,0.2
1,Player,0,0,1,Room: Living Room,0.3
1,Player,0,0,1,Room: Spa,0.2
1,Player,0,0,1,Room: Guest House,0.3
1,Player,0,0,2,Character: Mustard,0.2
1,Player,0,0,2,Character: Plum,0.4
1,Player,0,0,2,Character: Green,0.3
1,Player,0,0,2,Character: Peacock,0
1,Player,0,0,2,Character: Scarlet,0.3
1,Player,0,0,2,Character: White,0
1,Player,0,0,2,Weapon: Knife,0.2
1,Player,0,0,2,Weapon: Candlestick,0.1
1,Player,0,0,2,Weapon: Pistol,0.1
1,Player,0,0,2,Weapon: Poison,0.2
1,Player,0,0,2,Weapon: Trophy,0.6
1,Player,0,0,2,Weapon: Rope,0.4
1,Player,0,0,2,Weapon: Bat,0.5
